postać A,postać B,siła relacji
RENTON,SICK BOY,44
BEGBIE,RENTON,39
RENTON,SPUD,37
SICK BOY,SPUD,34
BEGBIE,SICK BOY,26
RENTON,TOMMY,26
BEGBIE,SPUD,20
SICK BOY,TOMMY,18
SPUD,TOMMY,17
MOTHER,RENTON,16
DIANE,RENTON,16
BEGBIE,TOMMY,15
LIZZY,TOMMY,15
RENTON,SWANNEY,15
FATHER,RENTON,14
FATHER,MOTHER,13
MAN,RENTON,11
BEGBIE,MAN,10
GAIL,SPUD,8
LIZZY,RENTON,8
SICK BOY,SWANNEY,8
ALLISON,SICK BOY,7
ALLISON,SPUD,7
SPUD,SWANNEY,7
ALLISON,RENTON,6
LIZZY,SICK BOY,6
ALLISON,SWANNEY,6
MOTHER,SPUD,6
RENTON,WOMAN,6
DIANE,SICK BOY,6
GAIL,TOMMY,5
LIZZY,SPUD,5
BEGBIE,WOMAN,5
MAN,SICK BOY,5
FATHER,SPUD,5
GAV,RENTON,5
BEGBIE,LIZZY,4
GAIL,LIZZY,4
MOTHER,SICK BOY,4
MIKEY,RENTON,4
MAN,WOMAN,4
MAN,SPUD,4
MAN,TOMMY,4
BEGBIE,DIANE,4
DIANE,SPUD,4
DIANE,TOMMY,4
FATHER,SICK BOY,4
DOCTOR,RENTON,4
GAV,TOMMY,4
BEGBIE,GAIL,3
GAIL,RENTON,3
GAIL,SICK BOY,3
SWANNEY,TOMMY,3
BEGBIE,FATHER,3
BEGBIE,MOTHER,3
BEGBIE,GAV,3
GAV,SICK BOY,3
GAV,SPUD,3
ALLISON,TOMMY,2
MAN,MAN 1,2
MAN,MAN 2,2
MAN 1,MAN 2,2
MAN 1,RENTON,2
MAN 1,WOMAN,2
MAN 2,RENTON,2
MAN 2,WOMAN,2
DIANE,MAN,2
DIANE,WOMAN,2
BEGBIE,MIKEY,2
BEGBIE,SWANNEY,2
MIKEY,SICK BOY,2
MIKEY,SPUD,2
ANDREAS,BEGBIE,2
ANDREAS,MAN,2
ALLISON,BEGBIE,1
ALLISON,GAIL,1
ALLISON,LIZZY,1
ALLISON,MOTHER,1
MOTHER,SWANNEY,1
BEGBIE,MAN 1,1
BEGBIE,MAN 2,1
MAN 1,SPUD,1
MAN 2,SPUD,1
SPUD,WOMAN,1
BEGBIE,SPUID,1
DIANE,GAIL,1
DIANE,LIZZY,1
DIANE,SPUID,1
GAIL,MAN,1
GAIL,SPUID,1
LIZZY,MAN,1
LIZZY,SPUID,1
MAN,SPUID,1
RENTON,SPUID,1
SICK BOY,SPUID,1
SPUD,SPUID,1
SPUID,TOMMY,1
DIANE,TAXI DRIVER,1
RENTON,TAXI DRIVER,1
FATHER,GAIL,1
GAIL,MOTHER,1
SICK BOY,WOMAN,1
BEGBIE,SHERIFF,1
FATHER,SHERIFF,1
MOTHER,SHERIFF,1
RENTON,SHERIFF,1
SHERIFF,SICK BOY,1
SHERIFF,SPUD,1
FATHER,GAV,1
GAV,MOTHER,1
DIANE,FATHER,1
DIANE,MOTHER,1
FATHER,TOMMY,1
MOTHER,TOMMY,1
DOCTOR,FATHER,1
DOCTOR,MOTHER,1
GAV,LIZZY,1
MIKEY,SWANNEY,1
MIKEY,TOMMY,1
ANDREAS,SICK BOY,1
ANDREAS,RENTON,1
